,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,title,firstActor,actorCategory,newRating,primaryName,keys,show_title
9391,tt0024210,The Kennel Murder Case,1933,73,CrimeMystery,6.9,3529,MichaelCurtiz,S.S.VanDine,Meurtre au chenil,William Powell,actor,6.21648498019559,WilliamPowell MaryAstor EugenePallette RalphMorgan,crimemystery michaelcurtiz s.s.vandine williampowell maryastor eugenepallette ralphmorgan,Meurtre au chenil (1933)
9392,tt10195452,American Skin,2019,90,DramaThriller,6.9,3528,NateParker,NateParker,American Skin,Nate Parker,actor,6.2164610207515425,NateParker OmariHardwick BeauKnapp TheoRossi,dramathriller nateparker nateparker nateparker omarihardwick beauknapp theorossi,American Skin (2019)
9393,tt0050681,Man of a Thousand Faces,1957,122,BiographyDrama,7.1,2728,JosephPevney,RalphWheelwright,L'homme aux mille visages,James Cagney,actor,6.216416618580497,JamesCagney DorothyMalone JaneGreer MarjorieRambeau,biographydrama josephpevney ralphwheelwright jamescagney dorothymalone janegreer marjorierambeau,L'homme aux mille visages (1957)
9394,tt0098524,True Believer,1989,105,CrimeDrama,6.7,4984,JosephRuben,WesleyStrick,Coupable ressemblance,James Woods,actor,6.216408751334045,JamesWoods RobertDowneyJr. MargaretColin YujiOkumoto,crimedrama josephruben wesleystrick jameswoods robertdowneyjr. margaretcolin yujiokumoto,Coupable ressemblance (1989)
9395,tt7534314,Niet Schieten,2018,139,Drama,7.6,1742,StijnConinx,StijnConinx,Ne tirez pas,Jan Decleir,actor,6.216408645576247,JanDecleir VivianedeMuynck MoBakker KesBakker,drama stijnconinx stijnconinx jandecleir vivianedemuynck mobakker kesbakker,Ne tirez pas (2018)
9396,tt0027893,Little Lord Fauntleroy,1936,102,DramaFamily,7.3,2224,JohnCromwell,FrancesHodgsonBurnett,Le petit Lord Fauntleroy,Freddie Bartholomew,actor,6.216397296503085,FreddieBartholomew DoloresCostello C.AubreySmith GuyKibbee,dramafamily johncromwell franceshodgsonburnett freddiebartholomew dolorescostello c.aubreysmith guykibbee,Le petit Lord Fauntleroy (1936)
9397,tt5657028,Alibi.com,2017,90,Comedy,6.5,8496,PhilippeLacheau,PhilippeLacheau,Alibi.com,Philippe Lacheau,actor,6.216384045856222,PhilippeLacheau ÉlodieFontan JulienArruti TarekBoudali,comedy philippelacheau philippelacheau philippelacheau élodiefontan julienarruti tarekboudali,Alibi.com (2017)
9398,tt0066109,The Music Lovers,1971,123,BiographyComedyDrama,7.1,2726,KenRussell,MelvynBragg,La symphonie pathétique,Richard Chamberlain,actor,6.216352881771623,RichardChamberlain GlendaJackson MaxAdrian ChristopherGable,biographycomedydrama kenrussell melvynbragg richardchamberlain glendajackson maxadrian christophergable,La symphonie pathétique (1971)
9399,tt5987402,Three Seconds,2017,133,BiographyDramaSport,6.7,4976,AntonMegerdichev,SergeiBelov,3 secondes,Vladimir Mashkov,actor,6.216279690419002,VladimirMashkov AndreySmolyakov SergeyGarmash MaratBasharov,biographydramasport antonmegerdichev sergeibelov vladimirmashkov andreysmolyakov sergeygarmash maratbasharov,3 secondes (2017)
9400,tt0106339,Backbeat,1994,100,BiographyDramaMusic,6.6,6271,IainSoftley,IainSoftley,"Backbeat, 5 garçons dans le vent",Stephen Dorff,actor,6.216257874708196,StephenDorff SherylLee IanHart GaryBakewell,biographydramamusic iainsoftley iainsoftley stephendorff sheryllee ianhart garybakewell,"Backbeat, 5 garçons dans le vent (1994)"
9401,tt1196948,Charlie Countryman,2013,103,ActionComedyDrama,6.3,28726,FredrikBond,MattDrake,Charlie Countryman,Shia LaBeouf,actor,6.216241670699475,ShiaLaBeouf EvanRachelWood MadsMikkelsen TilSchweiger,actioncomedydrama fredrikbond mattdrake shialabeouf evanrachelwood madsmikkelsen tilschweiger,Charlie Countryman (2013)
9402,tt0119381,Inventing the Abbotts,1997,110,DramaRomance,6.4,13091,PatO'Connor,SueMiller,Les années rebelles,Liv Tyler,actress,6.216229555538053,LivTyler JenniferConnelly JoaquinPhoenix BillyCrudup,dramaromance pato'connor suemiller livtyler jenniferconnelly joaquinphoenix billycrudup,Les années rebelles (1997)
9403,tt5186236,Afterimage,2016,98,BiographyDramaHistory,7.0,3069,AndrzejWajda,AndrzejWajda,Les fleurs bleues,Boguslaw Linda,actor,6.216217179094374,BoguslawLinda ZofiaWichlacz BronislawaZamachowska AndrzejKonopka,biographydramahistory andrzejwajda andrzejwajda boguslawlinda zofiawichlacz bronislawazamachowska andrzejkonopka,Les fleurs bleues (2016)
9404,tt7260048,Outside In,2017,109,Drama,6.7,4972,LynnShelton,LynnShelton,Outside In,Edie Falco,actress,6.216215134125183,EdieFalco JayDuplass LouisHobson AlyciaDelmore,drama lynnshelton lynnshelton ediefalco jayduplass louishobson alyciadelmore,Outside In (2017)
9405,tt2505938,Good Ol' Freda,2013,86,BiographyDocumentaryHistory,7.4,2031,RyanWhite,JessicaHargrave,Dans l'antichambre des Beatles : Quatre Garçons et une secrétaire dans le vent,Freda Kelly,self,6.216174022418704,FredaKelly,biographydocumentaryhistory ryanwhite jessicahargrave fredakelly,Dans l'antichambre des Beatles : Quatre Garçons et une secrétaire dans le vent (2013)
9406,tt6412864,On the Beach at Night Alone,2017,101,Drama,6.8,4118,HongSang-soo,HongSang-soo,Seule sur la plage la nuit,Kim Min-hee,actress,6.216168692904733,KimMin-hee Young-hwaSeo Jae-yeongJeong MoonSung-Keun,drama hongsang-soo hongsang-soo kimmin-hee young-hwaseo jae-yeongjeong moonsung-keun,Seule sur la plage la nuit (2017)
9407,tt0255653,Tortilla Soup,2001,102,ComedyDramaRomance,6.7,4969,MariaRipoll,Hui-LingWang,Tortilla Soup,Hector Elizondo,actor,6.216166705595782,HectorElizondo JacquelineObradors TamaraMello JudeHerrera,comedydramaromance mariaripoll hui-lingwang hectorelizondo jacquelineobradors tamaramello judeherrera,Tortilla Soup (2001)
9408,tt0064754,Oh! What a Lovely War,1969,144,ComedyMusicalWar,7.0,3067,RichardAttenborough,CharlesChilton,Ah! Dieu que la guerre est jolie,Wendy Allnutt,actress,6.216161328250258,WendyAllnutt ColinFarrell MalcolmMcFee JohnRae,comedymusicalwar richardattenborough charleschilton wendyallnutt colinfarrell malcolmmcfee johnrae,Ah! Dieu que la guerre est jolie (1969)
9409,tt3638012,Appleseed Alpha,2014,93,ActionAdventureAnimation,6.5,8462,ShinjiAramaki,MarianneKrawczyk,Appleseed Alpha,Yuka Komatsu,actress,6.216095869942024,YukaKomatsu Jun'ichiSuwabe AoiYûki HirokiTakahashi,actionadventureanimation shinjiaramaki mariannekrawczyk yukakomatsu jun'ichisuwabe aoiyûki hirokitakahashi,Appleseed Alpha (2014)
9410,tt0049043,Main Street,1956,99,Drama,7.8,1516,JuanAntonioBardem,CarlosArniches,Grand' rue,Betsy Blair,actress,6.216050686378036,BetsyBlair JoséSuárez YvesMassard LuisPeña,drama juanantoniobardem carlosarniches betsyblair josésuárez yvesmassard luispeña,Grand' rue (1956)
9411,tt0286179,Sunshine State,2002,141,DramaRomance,6.8,4112,JohnSayles,JohnSayles,Sunshine State,Angela Bassett,actress,6.216048364935422,AngelaBassett EdieFalco AlexLewis AlanKing,dramaromance johnsayles johnsayles angelabassett ediefalco alexlewis alanking,Sunshine State (2002)
9412,tt10649016,Safety,2020,122,BiographyDramaSport,6.8,4112,ReginaldHudlin,NickSantora,Safety,Jay Reeves,actor,6.216048364935422,JayReeves JavienJackson ThaddeusJ.Mixson CorinneFoxx,biographydramasport reginaldhudlin nicksantora jayreeves javienjackson thaddeusj.mixson corinnefoxx,Safety (2020)
